2026/04/15 11:48更新,#genre#
靖天日本台,https://gat.zhoujie218.top/litv/4gtv-4gtv047
靖天台,https://gat.zhoujie218.top/litv/4gtv-4gtv063
靖天戏剧台,https://gat.zhoujie218.top/litv/4gtv-4gtv058
靖天映画,https://gat.zhoujie218.top/litv/4gtv-4gtv055
靖天育乐台,https://gat.zhoujie218.top/litv/4gtv-4gtv062
靖天资讯台,https://gat.zhoujie218.top/litv/4gtv-4gtv065
靖洋卡通台,https://gat.zhoujie218.top/litv/4gtv-4gtv057
靖洋戏剧台,https://gat.zhoujie218.top/litv/4gtv-4gtv045
龙华电影,https://gat.zhoujie218.top/litv/litv-longturn03
龙华经典,https://gat.zhoujie218.top/litv/litv-longturn21
龙华卡通,https://gat.zhoujie218.top/litv/litv-longturn01
龙华偶像,https://gat.zhoujie218.top/litv/litv-longturn12
龙华日韩,https://gat.zhoujie218.top/litv/litv-longturn11
龙华戏剧,https://gat.zhoujie218.top/litv/litv-longturn18
民视,https://gat.zhoujie218.top/litv/4gtv-4gtv002
民视,https://gat.zhoujie218.top/litv/4gtv-4gtv155
民视台湾台,https://gat.zhoujie218.top/litv/4gtv-4gtv156
民视新闻台,https://gat.zhoujie218.top/litv/litv-ftv13
民视影剧,https://gat.zhoujie218.top/litv/litv-ftv09
民视综艺,https://gat.zhoujie218.top/litv/4gtv-4gtv004
台视,https://gat.zhoujie218.top/litv/4gtv-4gtv066
台视财经,https://gat.zhoujie218.top/litv/4gtv-4gtv056
台视新闻,https://gat.zhoujie218.top/litv/4gtv-4gtv051
台湾戏剧台,https://gat.zhoujie218.top/litv/litv-longturn22
影迷数位电影台,https://gat.zhoujie218.top/litv/4gtv-4gtv011
中视,https://gat.zhoujie218.top/litv/4gtv-4gtv040
中视菁采,https://gat.zhoujie218.top/litv/4gtv-4gtv064
中视新闻,https://gat.zhoujie218.top/litv/4gtv-4gtv074
中天新闻,https://gat.zhoujie218.top/litv/4gtv-4gtv009
猪哥亮歌厅秀,https://gat.zhoujie218.top/litv/4gtv-4gtv006

港澳C组,#genre#
Now星影台,http://aktv.top/AKTV/live/aktv2/now/AKTV.m3u8
TVBPlus,http://aktv.top/AKTV/live/aktv/tvbplus/AKTV.m3u8
TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8
TVBS-新闻台,http://aktv.top/AKTV/live/aktv/tvbs-1/AKTV.m3u8
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
凤凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
华视,http://aktv.top/AKTV/live/aktv/null-11/AKTV.m3u8
寰宇新闻台,http://aktv.top/AKTV/live/aktv/null-9/AKTV.m3u8
黄金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8
靖天电影台,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8
龙华电影台,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8
龙华经典台,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8
龙华日韩台,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8
美亚电影台HK,http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8
无线新闻台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8
中视,http://aktv.top/AKTV/live/aktv/null-10/AKTV.m3u8
中天新闻台,http://aktv.top/AKTV/live/aktv/null-8/AKTV.m3u8
中天亚洲台,http://aktv.top/AKTV/live/aktv/null-12/AKTV.m3u8

港澳D组,#genre#
TVBS新闻台,https://www.youtube.com/watch?v=m_dhMSvUCIc
东森财经新闻台,https://www.youtube.com/watch?v=LbS-xQ67fos
东森新闻台,https://www.youtube.com/live/V1p33hqPrUk?si=IyGTwsTSIL7hXDKN
华视新闻台,https://www.youtube.com/watch?v=wM0g8EoUZ_E
民视新闻台,https://www.youtube.com/watch?v=ylYJSBUgaMA
三立NEWS+,https://www.youtube.com/watch?v=oZdzzvxTfUY
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE
三立新闻台,https://www.youtube.com/watch?v=FoBfXvlOR6I
中天新闻1台,https://www.youtube.com/watch?v=oIgbl7t0S_w
中天新闻2台,https://www.youtube.com/watch?v=WPfPjbOLNfE

港澳E组,#genre#
凤凰香港,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fhxghd&apiKey=73c963d13814ce7d0e4743c5e7d033cc
凤凰香港,http://vapi.91kds.cc/live2/ifeng.m3u8?id=fhxghd&apiKey=73c963d13814ce7d0e4743c5e7d033cc
凤凰中文,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fhzw&apiKey=73c963d13814ce7d0e4743c5e7d033cc
凤凰中文,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fhzwhd&apiKey=73c963d13814ce7d0e4743c5e7d033cc
凤凰中文,http://vapi.91kds.cc/live2/ifeng.m3u8?id=fhzwhd&apiKey=73c963d13814ce7d0e4743c5e7d033cc
凤凰资讯,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fhzx&apiKey=73c963d13814ce7d0e4743c5e7d033cc
凤凰资讯,http://vapi.91kds.cc/live1/jdtv2.m3u8?id=fhzxhd&apiKey=73c963d13814ce7d0e4743c5e7d033cc
凤凰资讯,http://vapi.91kds.cc/live2/ifeng.m3u8?id=fhzxhd&apiKey=73c963d13814ce7d0e4743c5e7d033cc

